topic,date,count
social unrest,2018-10-26,701
social unrest,2018-10-27,551
social unrest,2018-10-28,428
social unrest,2018-10-29,557
social unrest,2018-10-30,571
social unrest,2018-10-31,634
social unrest,2018-11-01,750
social unrest,2018-11-02,566
social unrest,2018-11-03,292
social unrest,2018-11-04,280
social unrest,2018-11-05,419
social unrest,2018-11-06,280
social unrest,2018-11-07,175
social unrest,2018-11-08,740
social unrest,2018-11-09,629
social unrest,2018-11-10,403
social unrest,2018-11-11,433
social unrest,2018-11-12,534
social unrest,2018-11-13,525
social unrest,2018-11-14,552
social unrest,2018-11-15,452
social unrest,2018-11-16,452
social unrest,2018-11-17,455
social unrest,2018-11-18,338
social unrest,2018-11-19,352
social unrest,2018-11-20,493
social unrest,2018-11-21,441
social unrest,2018-11-22,443
social unrest,2018-11-23,398
social unrest,2018-11-24,410
social unrest,2018-11-25,394
social unrest,2018-11-26,459
social unrest,2018-11-27,504
social unrest,2018-11-28,469
social unrest,2018-11-29,606
social unrest,2018-11-30,1022
social unrest,2018-12-01,1902
social unrest,2018-12-02,761
